DateTime2,Location,DateTime,Temp,Lat,Long
2015/09/20 12:12:12,Abu,20-09-2015 12:12,26.69663,24.5925,72.7083
2015/10/20 12:12:12,Abu,20-10-2015 12:12,25.82,24.5925,72.7083
2015/11/20 12:12:12,Abu,20-11-2015 12:12,23.39305,24.5925,72.7083
2015/12/20 12:12:12,Abu,20-12-2015 12:12,19.53776,24.5925,72.7083
2016/01/20 12:12:12,Abu,20-01-2016 12:12,21.45058,24.5925,72.7083
2016/02/20 12:12:12,Abu,20-02-2016 12:12,23.65278,24.5925,72.7083
2016/03/20 12:12:12,Abu,20-03-2016 12:12,24.90992,24.5925,72.7083
2016/04/20 12:12:12,Abu,20-04-2016 12:12,25.99378,24.5925,72.7083
2016/05/20 12:12:12,Abu,20-05-2016 12:12,27.78845,24.5925,72.7083
2016/06/20 12:12:12,Abu,20-06-2016 12:12,29.89038,24.5925,72.7083
2016/07/20 12:12:12,Abu,20-07-2016 12:12,28.6316,24.5925,72.7083
2016/08/20 12:12:12,Abu,20-08-2016 12:12,28.25915,24.5925,72.7083
2016/09/20 12:12:12,Abu,20-09-2016 12:12,27.368,24.5925,72.7083
2016/10/20 12:12:12,Abu,20-10-2016 12:12,26.81,24.5925,72.7083
2016/11/20 12:12:12,Abu,20-11-2016 12:12,24.36139,24.5925,72.7083
2016/12/20 12:12:12,Abu,20-12-2016 12:12,21.16187,24.5925,72.7083
2017/01/20 12:12:12,Abu,20-01-2017 12:12,21.11221,24.5925,72.7083
2017/02/20 12:12:12,Abu,20-02-2017 12:12,23.15123,24.5925,72.7083
2017/03/20 12:12:12,Abu,20-03-2017 12:12,23.94572,24.5925,72.7083
2017/04/20 12:12:12,Abu,20-04-2017 12:12,25.65083,24.5925,72.7083
2017/05/20 12:12:12,Abu,20-05-2017 12:12,27.84328,24.5925,72.7083
2017/06/20 12:12:12,Abu,20-06-2017 12:12,29.62872,24.5925,72.7083
2017/07/20 12:12:12,Abu,20-07-2017 12:12,28.76369,24.5925,72.7083
2017/08/20 12:12:12,Abu,20-08-2017 12:12,28.20899,24.5925,72.7083
2017/09/20 12:12:12,Abu,20-09-2017 12:12,27.75305,24.5925,72.7083
2017/10/20 12:12:12,Abu,20-10-2017 12:12,27.24,24.5925,72.7083
2017/11/20 12:12:12,Abu,20-11-2017 12:12,24.38178,24.5925,72.7083
2017/12/20 12:12:12,Abu,20-12-2017 12:12,20.75584,24.5925,72.7083
2018/01/20 12:12:12,Abu,20-01-2018 12:12,21.11221,24.5925,72.7083
2018/02/20 12:12:12,Abu,20-02-2018 12:12,23.15123,24.5925,72.7083
2018/03/20 12:12:12,Abu,20-03-2018 12:12,23.94572,24.5925,72.7083
2018/04/20 12:12:12,Abu,20-04-2018 12:12,25.65083,24.5925,72.7083
2018/05/20 12:12:12,Abu,20-05-2018 12:12,27.84328,24.5925,72.7083
2018/06/20 12:12:12,Abu,20-06-2018 12:12,29.62872,24.5925,72.7083
2018/07/20 12:12:12,Abu,20-07-2018 12:12,28.76369,24.5925,72.7083
2018/08/20 12:12:12,Abu,20-08-2018 12:12,28.20899,24.5925,72.7083
2018/09/20 12:12:12,Abu,20-09-2018 12:12,27.75305,24.5925,72.7083
2018/10/20 12:12:12,Abu,20-10-2018 12:12,27.24,24.5925,72.7083
2018/11/20 12:12:12,Abu,20-11-2018 12:12,24.38178,24.5925,72.7083
2018/12/20 12:12:12,Abu,20-12-2018 12:12,20.75584,24.5925,72.7083
2008/01/20 12:12:12,Agartala,20-01-2008 12:12,17.08315,23.833,91.283
2008/02/20 12:12:12,Agartala,20-02-2008 12:12,19.52398,23.833,91.283
2008/03/20 12:12:12,Agartala,20-03-2008 12:12,25.71936,23.833,91.283
2008/04/20 12:12:12,Agartala,20-04-2008 12:12,29.67072,23.833,91.283
2008/05/20 12:12:12,Agartala,20-05-2008 12:12,33.23833,23.833,91.283
2008/06/20 12:12:12,Agartala,20-06-2008 12:12,31.79263,23.833,91.283
2008/07/20 12:12:12,Agartala,20-07-2008 12:12,29.26282,23.833,91.283
2008/08/20 12:12:12,Agartala,20-08-2008 12:12,29.05063,23.833,91.283
2008/09/20 12:12:12,Agartala,20-09-2008 12:12,28.53841,23.833,91.283
2008/10/20 12:12:12,Agartala,20-10-2008 12:12,25.47,23.833,91.283
2008/11/20 12:12:12,Agartala,20-11-2008 12:12,20.77178,23.833,91.283
2008/12/20 12:12:12,Agartala,20-12-2008 12:12,21.2079,23.833,91.283
2009/01/20 12:12:12,Agartala,20-01-2009 12:12,18.28424,23.833,91.283
2009/02/20 12:12:12,Agartala,20-02-2009 12:12,21.32574,23.833,91.283
2009/03/20 12:12:12,Agartala,20-03-2009 12:12,25.84569,23.833,91.283
2009/04/20 12:12:12,Agartala,20-04-2009 12:12,30.57627,23.833,91.283
2009/05/20 12:12:12,Agartala,20-05-2009 12:12,33.5775,23.833,91.283
2009/06/20 12:12:12,Agartala,20-06-2009 12:12,32.55067,23.833,91.283
2009/07/20 12:12:12,Agartala,20-07-2009 12:12,29.61397,23.833,91.283
2009/08/20 12:12:12,Agartala,20-08-2009 12:12,29.96519,23.833,91.283
2009/09/20 12:12:12,Agartala,20-09-2009 12:12,29.26159,23.833,91.283
2009/10/20 12:12:12,Agartala,20-10-2009 12:12,25.2,23.833,91.283
2009/11/20 12:12:12,Agartala,20-11-2009 12:12,20.58722,23.833,91.283
2009/12/20 12:12:12,Agartala,20-12-2009 12:12,20.79649,23.833,91.283
2010/01/20 12:12:12,Agartala,20-01-2010 12:12,17.69293,23.833,91.283
2010/02/20 12:12:12,Agartala,20-02-2010 12:12,20.90238,23.833,91.283
2010/03/20 12:12:12,Agartala,20-03-2010 12:12,27.93019,23.833,91.283
2010/04/20 12:12:12,Agartala,20-04-2010 12:12,31.75013,23.833,91.283
2010/05/20 12:12:12,Agartala,20-05-2010 12:12,34.13888,23.833,91.283
2010/06/20 12:12:12,Agartala,20-06-2010 12:12,32.25651,23.833,91.283
2010/07/20 12:12:12,Agartala,20-07-2010 12:12,29.31603,23.833,91.283
2010/08/20 12:12:12,Agartala,20-08-2010 12:12,29.4057,23.833,91.283
2010/09/20 12:12:12,Agartala,20-09-2010 12:12,28.71111,23.833,91.283
2010/10/20 12:12:12,Agartala,20-10-2010 12:12,25.58,23.833,91.283
2010/11/20 12:12:12,Agartala,20-11-2010 12:12,21.20548,23.833,91.283
2010/12/20 12:12:12,Agartala,20-12-2010 12:12,19.76798,23.833,91.283
2011/01/20 12:12:12,Agartala,20-01-2011 12:12,16.92609,23.833,91.283
2011/02/20 12:12:12,Agartala,20-02-2011 12:12,20.46917,23.833,91.283
2011/03/20 12:12:12,Agartala,20-03-2011 12:12,25.38247,23.833,91.283
2011/04/20 12:12:12,Agartala,20-04-2011 12:12,29.17882,23.833,91.283
2011/05/20 12:12:12,Agartala,20-05-2011 12:12,33.8231,23.833,91.283
2011/06/20 12:12:12,Agartala,20-06-2011 12:12,32.35833,23.833,91.283
2011/07/20 12:12:12,Agartala,20-07-2011 12:12,29.36923,23.833,91.283
2011/08/20 12:12:12,Agartala,20-08-2011 12:12,29.26582,23.833,91.283
2011/09/20 12:12:12,Agartala,20-09-2011 12:12,28.81905,23.833,91.283
2011/10/20 12:12:12,Agartala,20-10-2011 12:12,25.51,23.833,91.283
2011/11/20 12:12:12,Agartala,20-11-2011 12:12,21.07629,23.833,91.283
2011/12/20 12:12:12,Agartala,20-12-2011 12:12,20.40566,23.833,91.283
2012/01/20 12:12:12,Agartala,20-01-2012 12:12,16.86141,23.833,91.283
2012/02/20 12:12:12,Agartala,20-02-2012 12:12,20.11472,23.833,91.283
2012/03/20 12:12:12,Agartala,20-03-2012 12:12,25.24561,23.833,91.283
2012/04/20 12:12:12,Agartala,20-04-2012 12:12,30.06201,23.833,91.283
2012/05/20 12:12:12,Agartala,20-05-2012 12:12,33.5892,23.833,91.283
2012/06/20 12:12:12,Agartala,20-06-2012 12:12,32.70907,23.833,91.283
2012/07/20 12:12:12,Agartala,20-07-2012 12:12,29.77359,23.833,91.283
2012/08/20 12:12:12,Agartala,20-08-2012 12:12,29.38418,23.833,91.283
2012/09/20 12:12:12,Agartala,20-09-2012 12:12,28.76508,23.833,91.283
2012/10/20 12:12:12,Agartala,20-10-2012 12:12,24.85,23.833,91.283
2012/11/20 12:12:12,Agartala,20-11-2012 12:12,20.54108,23.833,91.283
2012/12/20 12:12:12,Agartala,20-12-2012 12:12,20.47766,23.833,91.283
2013/01/20 12:12:12,Agartala,20-01-2013 12:12,17.44348,23.833,91.283
2013/02/20 12:12:12,Agartala,20-02-2013 12:12,20.74485,23.833,91.283
2013/03/20 12:12:12,Agartala,20-03-2013 12:12,25.82464,23.833,91.283
2013/04/20 12:12:12,Agartala,20-04-2013 12:12,30.15145,23.833,91.283
2013/05/20 12:12:12,Agartala,20-05-2013 12:12,33.98684,23.833,91.283
2013/06/20 12:12:12,Agartala,20-06-2013 12:12,31.95103,23.833,91.283
2013/07/20 12:12:12,Agartala,20-07-2013 12:12,29.26282,23.833,91.283
2013/08/20 12:12:12,Agartala,20-08-2013 12:12,29.28734,23.833,91.283
2013/09/20 12:12:12,Agartala,20-09-2013 12:12,29.00254,23.833,91.283
2013/10/20 12:12:12,Agartala,20-10-2013 12:12,25.63,23.833,91.283
2013/11/20 12:12:12,Agartala,20-11-2013 12:12,20.46726,23.833,91.283
2013/12/20 12:12:12,Agartala,20-12-2013 12:12,20.25138,23.833,91.283
2014/01/20 12:12:12,Agartala,20-01-2014 12:12,17.3788,23.833,91.283
2014/02/20 12:12:12,Agartala,20-02-2014 12:12,20.03596,23.833,91.283
2014/03/20 12:12:12,Agartala,20-03-2014 12:12,24.57183,23.833,91.283
2014/04/20 12:12:12,Agartala,20-04-2014 12:12,30.08437,23.833,91.283
2014/05/20 12:12:12,Agartala,20-05-2014 12:12,33.27342,23.833,91.283
2014/06/20 12:12:12,Agartala,20-06-2014 12:12,33.28609,23.833,91.283
2014/07/20 12:12:12,Agartala,20-07-2014 12:12,29.86936,23.833,91.283
2014/08/20 12:12:12,Agartala,20-08-2014 12:12,29.50253,23.833,91.283
2014/09/20 12:12:12,Agartala,20-09-2014 12:12,28.7219,23.833,91.283
2014/10/20 12:12:12,Agartala,20-10-2014 12:12,25.38,23.833,91.283
2014/11/20 12:12:12,Agartala,20-11-2014 12:12,20.79023,23.833,91.283
2014/12/20 12:12:12,Agartala,20-12-2014 12:12,20.05597,23.833,91.283
2015/01/20 12:12:12,Agartala,20-01-2015 12:12,17.57283,23.833,91.283
2015/02/20 12:12:12,Agartala,20-02-2015 12:12,20.90238,23.833,91.283
2015/03/20 12:12:12,Agartala,20-03-2015 12:12,24.76133,23.833,91.283
2015/04/20 12:12:12,Agartala,20-04-2015 12:12,29.64836,23.833,91.283
2015/05/20 12:12:12,Agartala,20-05-2015 12:12,33.70615,23.833,91.283
2015/06/20 12:12:12,Agartala,20-06-2015 12:12,31.8492,23.833,91.283
2015/07/20 12:12:12,Agartala,20-07-2015 12:12,29.82679,23.833,91.283
2015/08/20 12:12:12,Agartala,20-08-2015 12:12,29.73924,23.833,91.283
2015/09/20 12:12:12,Agartala,20-09-2015 12:12,29.18603,23.833,91.283
2015/10/20 12:12:12,Agartala,20-10-2015 12:12,25.82,23.833,91.283
2015/11/20 12:12:12,Agartala,20-11-2015 12:12,21.1778,23.833,91.283
2015/12/20 12:12:12,Agartala,20-12-2015 12:12,20.78621,23.833,91.283
2016/01/20 12:12:12,Agartala,20-01-2016 12:12,19.32826,23.833,91.283
2016/02/20 12:12:12,Agartala,20-02-2016 12:12,23.21611,23.833,91.283
2016/03/20 12:12:12,Agartala,20-03-2016 12:12,28.01442,23.833,91.283
2016/04/20 12:12:12,Agartala,20-04-2016 12:12,33.04697,23.833,91.283
2016/05/20 12:12:12,Agartala,20-05-2016 12:12,35.56572,23.833,91.283
2016/06/20 12:12:12,Agartala,20-06-2016 12:12,33.60288,23.833,91.283
2016/07/20 12:12:12,Agartala,20-07-2016 12:12,29.98641,23.833,91.283
2016/08/20 12:12:12,Agartala,20-08-2016 12:12,30.30949,23.833,91.283
2016/09/20 12:12:12,Agartala,20-09-2016 12:12,29.92,23.833,91.283
2016/10/20 12:12:12,Agartala,20-10-2016 12:12,26.81,23.833,91.283
2016/11/20 12:12:12,Agartala,20-11-2016 12:12,22.05444,23.833,91.283
2016/12/20 12:12:12,Agartala,20-12-2016 12:12,22.51411,23.833,91.283
2017/01/20 12:12:12,Agartala,20-01-2017 12:12,19.02337,23.833,91.283
2017/02/20 12:12:12,Agartala,20-02-2017 12:12,22.72383,23.833,91.283
2017/03/20 12:12:12,Agartala,20-03-2017 12:12,26.93006,23.833,91.283
2017/04/20 12:12:12,Agartala,20-04-2017 12:12,32.61097,23.833,91.283
2017/05/20 12:12:12,Agartala,20-05-2017 12:12,35.63589,23.833,91.283
2017/06/20 12:12:12,Agartala,20-06-2017 12:12,33.30872,23.833,91.283
2017/07/20 12:12:12,Agartala,20-07-2017 12:12,30.12474,23.833,91.283
2017/08/20 12:12:12,Agartala,20-08-2017 12:12,30.2557,23.833,91.283
2017/09/20 12:12:12,Agartala,20-09-2017 12:12,30.34095,23.833,91.283
2017/10/20 12:12:12,Agartala,20-10-2017 12:12,27.24,23.833,91.283
2017/11/20 12:12:12,Agartala,20-11-2017 12:12,22.0729,23.833,91.283
2017/12/20 12:12:12,Agartala,20-12-2017 12:12,22.08213,23.833,91.283
2018/01/20 12:12:12,Agartala,20-01-2018 12:12,19.02337,23.833,91.283
2018/02/20 12:12:12,Agartala,20-02-2018 12:12,22.72383,23.833,91.283
2018/03/20 12:12:12,Agartala,20-03-2018 12:12,26.93006,23.833,91.283
2018/04/20 12:12:12,Agartala,20-04-2018 12:12,32.61097,23.833,91.283
2018/05/20 12:12:12,Agartala,20-05-2018 12:12,35.63589,23.833,91.283
2018/06/20 12:12:12,Agartala,20-06-2018 12:12,33.30872,23.833,91.283
2018/07/20 12:12:12,Agartala,20-07-2018 12:12,30.12474,23.833,91.283
2018/08/20 12:12:12,Agartala,20-08-2018 12:12,30.2557,23.833,91.283
2018/09/20 12:12:12,Agartala,20-09-2018 12:12,30.34095,23.833,91.283
2018/10/20 12:12:12,Agartala,20-10-2018 12:12,27.24,23.833,91.283
2018/11/20 12:12:12,Agartala,20-11-2018 12:12,22.0729,23.833,91.283
2018/12/20 12:12:12,Agartala,20-12-2018 12:12,22.08213,23.833,91.283
2008/01/20 12:12:12,Agra,20-01-2008 12:12,20.76775,27.18,78.02
2008/02/20 12:12:12,Agra,20-02-2008 12:12,21.97213,27.18,78.02
2008/03/20 12:12:12,Agra,20-03-2008 12:12,26.80514,27.18,78.02
2008/04/20 12:12:12,Agra,20-04-2008 12:12,29.45727,27.18,78.02
2008/05/20 12:12:12,Agra,20-05-2008 12:12,31.44167,27.18,78.02
2008/06/20 12:12:12,Agra,20-06-2008 12:12,30.17147,27.18,78.02
2008/07/20 12:12:12,Agra,20-07-2008 12:12,28.20513,27.18,78.02
2008/08/20 12:12:12,Agra,20-08-2008 12:12,28.62342,27.18,78.02
2008/09/20 12:12:12,Agra,20-09-2008 12:12,30.04927,27.18,78.02
2008/10/20 12:12:12,Agra,20-10-2008 12:12,28.95904,27.18,78.02
2008/11/20 12:12:12,Agra,20-11-2008 12:12,25.98645,27.18,78.02
2008/12/20 12:12:12,Agra,20-12-2008 12:12,22.47624,27.18,78.02
2009/01/20 12:12:12,Agra,20-01-2009 12:12,22.2279,27.18,78.02
2009/02/20 12:12:12,Agra,20-02-2009 12:12,23.99981,27.18,78.02
2009/03/20 12:12:12,Agra,20-03-2009 12:12,26.93681,27.18,78.02
2009/04/20 12:12:12,Agra,20-04-2009 12:12,30.3563,27.18,78.02
