CATEGORY,FUEL,UTILITY,STATION,STATE,Latitude,Longitude,Name,INST_CAP,PROGRAM_GENERATION,ACTUAL GENERATION
THERMAL,COAL,LAPPL,ANPARA C TPS,UTTAR PRADESH,24.2049,82.7976,Anpara ‘C’ Lanco Thermal Power Station,1200,754,763.05
THERMAL,COAL,UPRVUNL,ANPARA TPS,UTTAR PRADESH,24.1945,82.806155,Anpara D Thermal Power Plant,2630,1670,1451.7
THERMAL,NATURAL GAS,NTPC Ltd.,AURAIYA CCPP,UTTAR PRADESH,26.629,79.529,NTPC Auraiya,663.36,147,0
THERMAL,COAL,BEPL,BARKHERA TPS,UTTAR PRADESH,28.47224,79.80702,"Bajaj Energy Ltd, Barkhera Power Plant",90,30,31.92
THERMAL,COAL,NTPC Ltd.,DADRI (NCTPP),UTTAR PRADESH,28.596,77.6115,NTPC Dadri,1820,1033,463.52
THERMAL,NATURAL GAS,NTPC Ltd.,DADRI CCPP,UTTAR PRADESH,28.598,77.608,NTPC Dadri,829.78,84,129.43
THERMAL,COAL,UPRVUNL,HARDUAGANJ TPS,UTTAR PRADESH,28.0092,78.133436,Harduaganj Thermal Power Station,665,419,321.16
THERMAL,COAL,BEPL,KHAMBARKHERA TPS,UTTAR PRADESH,27.07877,82.08364,Bajaj Energy Ltd,90,28,17.45
HYDRO,HYDRO,UPJVNL,KHARA HPS,UTTAR PRADESH,30.3508,77.6017,KHARA HPS,72,18,14.22
THERMAL,COAL,BEPL,KUNDARKI TPS,UTTAR PRADESH,27.0788,82.0841,Bajaj Energy Ltd Kundarki,90,32,25.55
THERMAL,COAL,LPGCL,LALITPUR TPS,UTTAR PRADESH,24.797,78.647,Lalitpur Power Generation Company Limited,1980,512,315.96
THERMAL,COAL,BEPL,MAQSOODPUR TPS,UTTAR PRADESH,28.246,79.998,Bajaj Energy Limited Maqsoodpur,90,30,25.2
HYDRO,HYDRO,UPJVNL,MATATILA HPS,UTTAR PRADESH,25.0988,78.37226,Matatila Hydroelectric Dam,30.6,13,15.76
THERMAL,COAL,MUNPL,MEJA STPP,UTTAR PRADESH,25.1454,81.94222,Meja Super Thermal Power Project,0,0,0
NUCLEAR,NUCLEAR,NPCIL,NARORA A.P.S.,UTTAR PRADESH,28.1582,78.4099,Narora Atomic Power Station,440,278,339.73
HYDRO,HYDRO,UPJVNL,OBRA HPS,UTTAR PRADESH,24.439,82.9666,Obra Hydroelectric Power Plant,99,12,19.97
THERMAL,COAL,UPRVUNL,OBRA TPS,UTTAR PRADESH,24.453,82.984,Obra Thermal Power Plant,1278,472,425.43
THERMAL,COAL,UPRVUNL,PANKI TPS,UTTAR PRADESH,26.4755,80.2427,Panki Thermal Power Station,210,90,63.49
THERMAL,COAL,UPRVUNL,PARICHHA TPS,UTTAR PRADESH,25.514,78.758,Parichha Thermal Power Station,1140,606,442.8
THERMAL,COAL,PPGCL (Jaypee),PRAYAGRAJ TPP,UTTAR PRADESH,25.207,81.65804,Prayagraj Power Generation Co. Ltd,1320,320,679.62
HYDRO,HYDRO,UPJVNL,RIHAND HPS,UTTAR PRADESH,24.202,83.0069,"Rihand Dam, Pipari",300,31,52.09
THERMAL,COAL,NTPC Ltd.,RIHAND STPS,UTTAR PRADESH,24.0261,82.7903,Rihand Power Station,3000,1878,1883.12
THERMAL,COAL,RPSCL,ROSA TPP Ph-I,UTTAR PRADESH,27.8191,79.9357,Rosa Thermal Power Plant,1200,539,660.6
THERMAL,COAL,NTPC Ltd.,SINGRAULI STPS,UTTAR PRADESH,24.1038,82.7063,Shaktinagar Singrauli N.T.P.C. THermal Power Plant,2000,1375,1423.41
THERMAL,COAL,NTPC Ltd.,TANDA TPS,UTTAR PRADESH,26.5892,82.5994,NTPC Tanda,440,276,276.68
THERMAL,COAL,NTPC Ltd.,UNCHAHAR TPS,UTTAR PRADESH,25.914,81.326,"NTPC, Unchahar, Uttar Pradesh",1050,621,611.85
THERMAL,COAL,BEPL,UTRAULA TPS,UTTAR PRADESH,27.34625,82.3166,Bajaj Energy Ltd. UTRAULA,90,32,29.85
THERMAL,NATURAL GAS,BIPL,BETA CCPP,UTTARAKHAND,29.1416,78.964,Gama Infraprop Pvt. Ltd.,0,0,0
HYDRO,HYDRO,UJVNL,CHIBRO (YAMUNA) HPS,UTTARAKHAND,30.614,77.7911,Icchadi Dam,240,32,27.81
HYDRO,HYDRO,UJVNL,CHILLA HPS,UTTARAKHAND,29.976,78.2204,Chilla Hydro Power Plant,144,54,58.29
HYDRO,HYDRO,UJVNL,DHAKRANI HPS,UTTARAKHAND,30.455,77.736,Power House Dhakrani,33.75,7,5.31
HYDRO,HYDRO,UJVNL,DHALIPUR HPS,UTTARAKHAND,30.435,77.682,Power House Dhalipur,51,10,8.1
HYDRO,HYDRO,NHPC,DHAULI GANGA HPS,UTTARAKHAND,29.867,80.559,"Dhauliganga Power Station,NHPC Ltd",280,31,25.96
THERMAL,NATURAL GAS,GIPL,GAMA CCPP,UTTARAKHAND,29.1409,78.963,Gama Infraprop Pvt. Ltd.,225,0,69.37
THERMAL,NATURAL GAS,SrEPL,KASHIPUR CCPP,UTTARAKHAND,29.154,78.975,"Sravanthi Energy Pvt. Ltd., Dariyal Rd, Khaikhera Madhiyan, Khaikhera, Uttarakhand",225,0,88.44
HYDRO,HYDRO,UJVNL,KHATIMA HPS,UTTARAKHAND,28.923,80.023,Lohia Head Power Plant,41.4,12,14.32
HYDRO,HYDRO,UJVNL,KHODRI HPS,UTTARAKHAND,30.613,77.7908,Ichari Dam,120,16,13.84
HYDRO,HYDRO,THDC,KOTESHWAR HPS,UTTARAKHAND,30.26,78.498,Koteshwar Dam,400,109,96.65
HYDRO,HYDRO,UJVNL,KULHAL HPS,UTTARAKHAND,30.428,77.629,Kulhaal Hydro Power House,30,8,6.75
HYDRO,HYDRO,UJVNL,MANERI BHALI - I HPS,UTTARAKHAND,30.739,78.528,Maneri Bhali Dam,90,25,20.16
HYDRO,HYDRO,UJVNL,MANERI BHALI - II HPS,UTTARAKHAND,30.738,78.528,Maneri Bhali Dam,304,44,31.59
HYDRO,HYDRO,UJVNL,RAMGANGA HPS,UTTARAKHAND,29.517,78.755,Ram Ganga Dam Project,198,45,63.85
HYDRO,HYDRO,AHPC (GVK),SRINAGAR HPS,UTTARAKHAND,30.2417,78.823,Alaknanda Hydro Electric Power Project,330,43,33.36
HYDRO,HYDRO,NHPC,TANAKPUR HPS,UTTARAKHAND,29.0552,80.116, Tanakpur,94.2,21,18.77
HYDRO,HYDRO,THDC,TEHRI ST-1 HPS,UTTARAKHAND,30.3771,78.4796,Tehri Dam,1000,304,265.36
HYDRO,HYDRO,JPPVL,VISHNU PRAYAG HPS,UTTARAKHAND,30.5669,79.547,Vishnu Prayag Hydel Power Plant,400,53,55.87
THERMAL,COAL,WBPDC,BAKRESWAR TPS,WEST BENGAL,23.828,87.452,Bakreshwar Ther­mal Power Station,1050,573,474.47
THERMAL,COAL,WBPDC,BANDEL TPS,WEST BENGAL,22.9954,88.4028,Bandel Thermal Power Station,450,112,129.41
THERMAL,COAL,CESC,BUDGE BUDGE TPS,WEST BENGAL,22.4669,88.1383,Calcutta Electric Supply Corporation Thermal Power Station,750,354,353.59
THERMAL,COAL,DPSCLTD,CHINAKURI TPS,WEST BENGAL,23.6802,86.853,Chinakuri Thermal Power station,30,0,0
THERMAL,COAL,DPL,D.P.L. TPS,WEST BENGAL,23.519,87.304,"D P L , POWER PLANT",880,130,183.18
THERMAL,COAL,DVC,DURGAPUR STEEL TPS,WEST BENGAL,23.580059,87.2047,Durgapur Steel Thermal Power Station,1000,498,653.05
THERMAL,COAL,DVC,DURGAPUR TPS,WEST BENGAL,23.528703,87.250619,Durgapur Thermal Power Station,210,99,134.11
THERMAL,COAL,NTPC Ltd.,FARAKKA STPS,WEST BENGAL,24.772,87.8944,"NTPC Limited, Farakka Super Thermal Power Station",2100,1200,1261.37
THERMAL,NATURAL GAS,WBPDC,HALDIA GT (Liq.),WEST BENGAL,22.103,88.175,Haldia Energy Limited,40,0,0
THERMAL,COAL,HEL,HALDIA TPP,WEST BENGAL,22.1029,88.17798,CESC Haldia Thermal Power Plant,600,314,231.67
THERMAL,COAL,IEL,INDIA POWER TPP (HALDIA),WEST BENGAL,22.078,88.099,"India Power Corporation Limited,Haldia",0,0,0
HYDRO,HYDRO,WBSEDCL,JALDHAKA HPS ST-I,WEST BENGAL,27.061,88.8795,Jaldhaka Hydel Power Project,36,0,0.16
THERMAL,NATURAL GAS,WBPDC,KASBA GT (Liq.),WEST BENGAL,22.415,87.871,Kolaghat Thermal Power Station,40,0,0
THERMAL,COAL,WBPDC,KOLAGHAT TPS,WEST BENGAL,22.415,87.8707,Kolaghat Thermal Power Station,1260,480,439.06
THERMAL,COAL,DVC,MEJIA TPS,WEST BENGAL,23.463,87.131,Mejia Thermal Power Station,2340,1009,1179.31
THERMAL,COAL,CESC,NEW COSSIPORE TPS,WEST BENGAL,22.548,88.2916,CESC Limited,0,0,0
HYDRO,HYDRO,WBSEDCL,PURULIA PSS HPS.,WEST BENGAL,23.186,86.089,Ajodhya Hydro Electric Power Project,900,92,83.16
THERMAL,COAL,DVC,RAGHUNATHPUR TPP,WEST BENGAL,23.617,86.658,Raghunathpur Thermal Power Plant,1200,94,145.85
HYDRO,HYDRO,WBSEDCL,RAMMAM HPS.,WEST BENGAL,27.113,88.137,"Rammam Hydel Project,St-II 51 MW",50,9,10.73
THERMAL,COAL,WBPDC,SAGARDIGHI TPS,WEST BENGAL,24.3687,88.1052,Sagardighi Thermal Power Station,1600,307,554.98
THERMAL,COAL,WBPDC,SANTALDIH TPS,WEST BENGAL,23.6009,86.466,Santaldih Thermal Power Station(STPS),500,316,344.35
THERMAL,COAL,CESC,SOUTHERN REPL. TPS,WEST BENGAL,22.5723,88.3641,SOUTHERN REPL. TPS,135,50,5.66
HYDRO,HYDRO,NHPC,TEESTA LOW DAM-III HPS,WEST BENGAL,27.0154,88.4427,Teesta Low Dam Hydro Electric Project Stage III,132,22,10.67
HYDRO,HYDRO,NHPC,TEESTA LOW DAM-IV HPS,WEST BENGAL,26.927,88.4553,Teesta Low Dam–IV,160,15,18.63
THERMAL,COAL,CESC,TITAGARH TPS,WEST BENGAL,22.731,88.3716,"Titagarh Generating Station,CESC",240,35,0
