CATEGORY,FUEL,UTILITY,STATION,STATE,Latitude,Longitude,Name,INST_CAP,PROGRAM_GENERATION,ACTUAL GENERATION
THERMAL,COAL,CGPL,MUNDRA UMTPP,GUJARAT,22.815,69.528,Ultra Mega Power Project CGPL,4000,2057,2620.61
THERMAL,NATURAL GAS,GPE CORP,PEGUTHAN CCPP,GUJARAT,21.78,72.999,Paguthan Combined Cycle Power Plant,655,25,4.36
THERMAL,NATURAL GAS,GPPCL,PIPAVAV CCPP,GUJARAT,20.898,71.469,GSPC Pipavav Power Co Ltd GPPC,702,0,0
HYDRO,HYDRO,SSNNL,S SAROVAR CHPH HPS,GUJARAT,21.8304,73.748,Sardar Sarovar Dam,250,85,90.97
HYDRO,HYDRO,SSNNL,S SAROVAR RBPH HPS,GUJARAT,21.834,73.748,Sardar Sarovar Dam Power Plant,1200,92,0.74
THERMAL,COAL,TOR. POW. (UNOSUGEN),SABARMATI (C STATION),GUJARAT,23.07,72.597,Torrent Power C Station,60,0,0
THERMAL,COAL,TOR. POW. (UNOSUGEN),SABARMATI (D-F STATIONS),GUJARAT,23.069,72.592,Torrent Power D-F Station,362,218,243.67
THERMAL,COAL,EPGL,SALAYA TPP,GUJARAT,22.302,69.712,Essar Power Gujrat Limited (EPGL),1200,556,483.11
THERMAL,COAL,GSECL,SIKKA REP. TPS,GUJARAT,22.419,69.831,Sikka Thermal Power Station,740,175,220.75
THERMAL,NATURAL GAS,TOR. POW. (SUGEN),SUGEN CCPP,GUJARAT,21.338,72.986,Sugen Power Plant,1147.5,233,187.97
THERMAL,COAL,GIPCL,SURAT LIG. TPS,GUJARAT,21.394,73.107,Surat Lignite Power Plant,500,313,257.56
HYDRO,HYDRO,GSECL,UKAI HPS,GUJARAT,21.253,73.592,Ukai Dam Power Plant,300,31,4.51
THERMAL,COAL,GSECL,UKAI TPS,GUJARAT,21.212,73.5605,Ukai Thermal Power Station,1350,528,310.5
THERMAL,NATURAL GAS,TOR. POW. (UNOSUGEN),UNOSUGEN CCPP,GUJARAT,21.3409,72.9899,UNOSugen Power Plant,382.5,0,0
THERMAL,NATURAL GAS,GSECL,UTRAN CCPP,GUJARAT,21.22,72.87,Utran Gas Based Power Station,518,0,0
THERMAL,NATURAL GAS,TOR. POW. (UNOSUGEN),VATWA CCPP,GUJARAT,23.08,72.65,Torrent Power,0,0,0
THERMAL,COAL,GSECL,WANAKBORI TPS,GUJARAT,22.87,73.35,Wanakbori Thermal Power Station,1470,478,228.69
THERMAL,NATURAL GAS,NTPC Ltd.,FARIDABAD CCPP,HARYANA,28.345,77.361,NTPC Faridabad,431.59,97,15.59
THERMAL,COAL,APCPL,INDIRA GANDHI STPP,HARYANA,28.492,76.366,Indira Gandhi Super Thermal Power Project,1500,570,110.76
THERMAL,COAL,JhPL(HR),MAHATMA GANDHI TPS,HARYANA,28.484,76.375,Mahatma Gandhi Super Thermal Power Plant,1320,501,513.1
THERMAL,COAL,HPGCL,PANIPAT TPS,HARYANA,29.397,76.868,Panipat Thermal Power Station,920,124,109.48
THERMAL,COAL,HPGCL,RAJIV GANDHI TPS,HARYANA,29.345,75.855,Rajiv Gandhi Thermal Power Plant,1200,445,577.98
THERMAL,COAL,HPGCL,YAMUNA NAGAR TPS,HARYANA,30.108,77.324,HPGCL Deen Bandhu Chotu Ram Thermal Power Plant,600,219,208.4
HYDRO,HYDRO,ADHPL,ALLAIN DUHANGAN HPS,HIMACHAL PRADESH,32.226,77.198,Allain Duhangan Hydropower Plant,192,11,11.76
HYDRO,HYDRO,NHPC,BAIRA SIUL HPS,HIMACHAL PRADESH,32.742,76.109,Bairasiul Power Station,180,14,23.21
HYDRO,HYDRO,HBPCL,BASPA HPS,HIMACHAL PRADESH,31.4301,78.2412,Baspa (Stage 2) Dam,300,32,30.48
HYDRO,HYDRO,HPSEB,BASSI HPS,HIMACHAL PRADESH,31.954,76.798,Bassi Power House,66,8,7.55
